"channel","publishedAt","textOriginal","source","likeCount","prediction"
"","2024-12-10T18:45:00+0000","The day after the presidential election, JPMorgan Chase’s chief executive, Jamie Dimon, picked up his phone for a call he had hoped not to make.","nytime","","neutral"
"UCX6OQ3DkcsbYNE6H8uQQuVA","2024-12-14T18:36:43Z","This WILL get over 1b views","youtube","1","neutral"
"UCX6OQ3DkcsbYNE6H8uQQuVA","2024-12-14T18:31:29Z","I'm your fan","youtube","0","neutral"
"UCSHZKyawb77ixDdsGog4iWA","2024-09-26T14:09:50Z","This interview was fantastic but, oh boy, some of the topic transitions were rough!","youtube","1","positive"
"UCX6OQ3DkcsbYNE6H8uQQuVA","2024-12-14T18:28:24Z","Love you","youtube","0","positive"
"UCSHZKyawb77ixDdsGog4iWA","2024-10-06T20:28:42Z","Kevin is a living legend!","youtube","2","neutral"
"UCtxD0x6AuNNqdXO9Wp5GHew","2024-12-14T18:19:06Z","@mrpest ?","youtube","0","neutral"
"","2024-12-10T13:03:23+0000","Rupert Murdoch has lost his bid to hand control over his media company to his elder son, Lachlan Murdoch, after he dies. A Nevada commissioner ruled against his attempt to modify the terms of a family trust that would have stripped three of his other children of their voting rights over his empire.","nytime","","negative"
"UCX6OQ3DkcsbYNE6H8uQQuVA","2024-12-14T18:37:19Z","Lessgoooo!!! cant wait ❤️‍🔥❤️‍🔥","youtube","0","neutral"
"UCX6OQ3DkcsbYNE6H8uQQuVA","2024-12-14T18:30:41Z","Epic ❤","youtube","0","positive"
"","2024-12-10T14:30:04+0000","New York City officials announced on Tuesday that they would close a giant tent complex in Brooklyn that houses some 2,000 migrants, a pre-emptive step meant to fend off concerns that the shelter could be targeted by the Trump administration.","nytime","","negative"
"UCSHZKyawb77ixDdsGog4iWA","2024-11-19T09:02:48Z","Interview Julie Kelly.","youtube","0","neutral"
"","2024-12-10T19:00:03+0000","Here at The Amplifier, we like to keep our playlists relatively brief, like bite-sized musical snacks you can nosh on when you have some downtime. But each December, when the critics are publishing our best-of lists, we like to offer up a much heartier feast. Well, I hope your ears are hungry (is that how it works?) because today is the day. It’s time for our annual playlist of the year’s best music — more than six hours and slightly over 100 tracks of it.","nytime","","positive"
"","2024-12-10T16:57:13+0000","To the Editor:","nytime","","neutral"
"UCSHZKyawb77ixDdsGog4iWA","2024-11-13T13:13:53Z","Lex, in addition to his acquittal, you failed to mention that FIFTEEN other people also accused him of sexual misconduct, 8 of which are other actors on the set of ""House of Cards."" It should be very obvious that you are interviewing a sexual predator, and for no good reason (at least in Trump's case it can be argued that being a serious contender for President of the United States gives one the onus to provide him a platform).","youtube","0","negative"
"","2024-12-10T17:02:28+0000","François Ruffin had just started filming a satirical documentary about Bernard Arnault, France’s richest man and head of the LVMH Moët Hennessy Louis Vuitton luxury conglomerate, when he became suspicious about a volunteer on his staff.","nytime","","neutral"
"UCtxD0x6AuNNqdXO9Wp5GHew","2024-12-14T18:41:32Z","The GOAT SIUUUUU 🤍","youtube","1","neutral"
"UCSHZKyawb77ixDdsGog4iWA","2024-10-10T10:52:16Z","Bring back Spacey just as Johnny Deep!","youtube","2","neutral"
"UCSHZKyawb77ixDdsGog4iWA","2024-09-21T22:26:40Z","He sounds like a different man from the interview with Piers Morgan... here he is overly confident and bordering on cocky and arrogant. But he always was cocky and super arrogant. Even though he was aquitted he cried in his interview with Piers Morgan.","youtube","0","positive"
"UCSHZKyawb77ixDdsGog4iWA","2024-12-13T06:33:30Z","Great interview. Cancelled over BS and long overdue for a return. Great talent and a very interesting human being.","youtube","0","positive"
"UCX6OQ3DkcsbYNE6H8uQQuVA","2024-12-14T18:31:09Z","Bro will make a history in the world 🌍🌎🌎🌎🌍❤❤❤❤🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥","youtube","4","neutral"
"UCtxD0x6AuNNqdXO9Wp5GHew","2024-12-14T18:15:30Z","Messi and Cristiano are the best❤","youtube","0","neutral"
"UCX6OQ3DkcsbYNE6H8uQQuVA","2024-12-14T18:34:10Z","halp me bather","youtube","0","neutral"
"UCSHZKyawb77ixDdsGog4iWA","2024-09-20T00:12:46Z","Thanks for having this guy back on and giving us with the gifts of his craft and intellect.","youtube","0","positive"
"UCX6OQ3DkcsbYNE6H8uQQuVA","2024-12-14T18:28:22Z","Hola","youtube","0","neutral"
"UCSHZKyawb77ixDdsGog4iWA","2024-11-23T05:06:00Z","He seems insincere and contrived","youtube","1","negative"
"UCX6OQ3DkcsbYNE6H8uQQuVA","2024-12-14T18:29:26Z","You r craziest person ı have ever seen","youtube","0","neutral"
"UCX6OQ3DkcsbYNE6H8uQQuVA","2024-12-14T18:34:05Z","bro is the coldest youtuber","youtube","0","neutral"
"UCSHZKyawb77ixDdsGog4iWA","2024-10-10T19:32:29Z","LA Confidential is one of my favourite films.","youtube","1","neutral"
"UCSHZKyawb77ixDdsGog4iWA","2024-09-25T13:37:21Z","Itâs time for him to make a comeback","youtube","2","neutral"
"","2024-12-10T15:53:10+0000","After last month’s presidential election, Lina Khan, the Democratic chair of the Federal Trade Commission, went into turbo mode.","nytime","","neutral"
"UCtxD0x6AuNNqdXO9Wp5GHew","2024-12-14T18:22:32Z","And never give up and dont loee hope","youtube","0","neutral"
"UCSHZKyawb77ixDdsGog4iWA","2024-11-21T12:51:49Z","holy crap lex fridman is braindead. how the hell did this guy get such a popular podcast. what an IDIOT","youtube","1","negative"
"UCX6OQ3DkcsbYNE6H8uQQuVA","2024-12-14T18:32:41Z","This is going to be incredible🔥🔥💯","youtube","4","neutral"
"UCX6OQ3DkcsbYNE6H8uQQuVA","2024-12-14T18:31:09Z","Kiwi ptak","youtube","0","neutral"
"","2024-12-10T16:22:26+0000","Love poem, restless dream, troubled history, alchemist’s scrapbook — Leos Carax’s “It’s Not Me” is pure cinema as it dances through its dense 42 minutes. He crafted this indelibly personal and eccentric film in response to a prompt he was given from the Pompidou Center in Paris: “Where are you at, Leos Carax?”","nytime","","positive"
"UCX6OQ3DkcsbYNE6H8uQQuVA","2024-12-14T18:31:15Z","Ohgghhhhhhh so i cant watch ittttttt😭😭😭👺👺👺","youtube","0","neutral"
"UCSHZKyawb77ixDdsGog4iWA","2024-10-12T09:14:37Z","Spacey was found not guilty of sexual abuse ('22 New York; '23 London). He is/was a good actor. Perfect example of where justice gets lost in A FOG OF (on-going) ASSUMPTIONS.","youtube","2","positive"
"UCX6OQ3DkcsbYNE6H8uQQuVA","2024-12-14T18:29:17Z","Play cow","youtube","0","negative"
"UCX6OQ3DkcsbYNE6H8uQQuVA","2024-12-14T18:38:01Z","“Lol”","youtube","0","positive"
"","2024-12-10T17:00:10+0000","Matt French was working in urban development in Portland, Ore., 10 years ago when he took a trip to Joshua Tree, Calif., and realized he wanted to do something else with his life.","nytime","","neutral"
"","2024-12-10T18:05:29+0000","As President-elect Donald J. Trump promises to deport millions of undocumented immigrants, Democratic governors are bracing themselves to be on the front lines of an emotional and politically explosive battle against his administration.","nytime","","neutral"
"","2024-12-10T17:32:28+0000","A wildfire in Malibu, Calif., was burning along the Pacific coastline near Los Angeles on Tuesday, forcing evacuations and burning more than 2,200 acres overnight, according to California fire officials.","nytime","","positive"
"UCSHZKyawb77ixDdsGog4iWA","2024-11-27T02:50:19Z","Kevin is so f***Ing good that you canât tell if it is him acting or a character playing Kevin during the interview. Rockstar ð","youtube","0","positive"
"","2024-12-10T12:22:25+0000","The fast-moving blaze has burned more than 2,700 acres and forced evacuations along the California coastline north of Los Angeles.","nytime","","positive"
"UCX6OQ3DkcsbYNE6H8uQQuVA","2024-12-14T18:36:06Z","❤❤ can you buy me a tv","youtube","0","neutral"
"","2024-12-10T18:00:07+0000","Last week, the Court of Appeals for the District of Columbia Circuit upheld a federal law that threatens to shut down TikTok in the United States. The court’s most consequential conclusion: The First Amendment permits the government to protect Americans from covert foreign manipulation by restricting their access to foreign-controlled media — even when that means Americans’ speech is restricted, too.","nytime","","positive"
"","2024-12-10T19:09:26+0000","The man charged in the killing of the chief executive of UnitedHealthcare reported in online writings over a period of years that he had been navigating a series of life-altering health problems.","nytime","","neutral"
"UCX6OQ3DkcsbYNE6H8uQQuVA","2024-12-14T17:59:35Z","Watch Beast Games on Amazon Prime December 19th! This will be the greatest show you’ve ever seen!","youtube","1740","positive"
"UCSHZKyawb77ixDdsGog4iWA","2024-10-17T03:22:18Z","Kevin Spacey is and always will be brilliant! Wish he would make some more movies.","youtube","0","positive"
"UCSHZKyawb77ixDdsGog4iWA","2024-09-27T20:43:00Z","This man is so talented I wish I could give him a job. He should create a YouTube channel and do dramatic readings or something. I'd watch him.","youtube","0","positive"
"","2024-12-10T19:00:06+0000","The youth climate movement that formed under the first Trump presidency is gearing up for his second.","nytime","","positive"
"UCX6OQ3DkcsbYNE6H8uQQuVA","2024-12-14T18:27:08Z","WOW","youtube","0","positive"
"UCSHZKyawb77ixDdsGog4iWA","2024-10-04T18:21:55Z","Kevin is a legend!","youtube","1","neutral"
"UCX6OQ3DkcsbYNE6H8uQQuVA","2024-12-14T18:27:22Z","Social earthquake coming guys 🔥🤩","youtube","0","positive"
"UCX6OQ3DkcsbYNE6H8uQQuVA","2024-12-14T18:30:48Z","Money 💴 money 💴 money 💴 money 💴 money","youtube","0","neutral"
"","2024-12-10T19:57:14+0000","The suspect in the killing of the UnitedHealthcare chief executive saw himself as a hero fighting a corrupt health insurance industry, the police said in an internal report in which they also warned about the possible threat posed by social media posts that praised the killing and encouraged similar targeted violence.","nytime","","negative"
"UCSHZKyawb77ixDdsGog4iWA","2024-12-05T19:26:19Z","I ended up watching a two part documentary about Spacey after this interview, I do highly recommend it, âSpacey Unmaskedâ is the title.  The amount of allegations and whatâs alleged definitely paint him as a predator which he undoubtedly was, and to be clear none of the allegations are in the level of rape, but they paint a picture of a man who abused his position to groom and coerce unwilling individuals into groping and the like.  Iâm glad people of his caliber are being taken out of the game, Iâm glad the tone of the workplace and movie set are changing. We need to be a lot more deliberate about our workplaces cultures.","youtube","2","positive"
"","2024-12-10T12:12:45+0000","As soon as it became clear on Sunday that there would be regime change in neighboring Syria, Israel began a sweeping aerial campaign.","nytime","","positive"
"","2024-12-10T14:13:44+0000","Good morning, dear connectors. Welcome to today’s Connections forum, where you can give and receive puzzle — and emotional — support.","nytime","","positive"
"UCSHZKyawb77ixDdsGog4iWA","2024-11-05T14:30:51Z","I hope lex fridman would do an interview with al pacino too, in acting he is incredible!","youtube","0","positive"
"","2024-12-10T10:03:18+0000","This is an edited transcript of an episode of “The Ezra Klein Show.” You can listen to the conversation by following or subscribing to the show on the NYT Audio App, Apple, Spotify, Amazon Music, YouTube, iHeartRadio or wherever you get your podcasts.","nytime","","neutral"
"UCSHZKyawb77ixDdsGog4iWA","2024-10-17T01:50:43Z","I don't see what was so horrible about that post, lex. It could've been better, but reasonable at the time.","youtube","0","negative"
"","2024-12-10T19:00:07+0000","Federal wildlife officials proposed on Tuesday that monarch butterflies receive protection as a threatened species.","nytime","","neutral"
"","2024-12-10T13:24:45+0000","Good morning, dear connectors. Welcome to today’s Connections forum, where you can give and receive puzzle — and emotional — support.","nytime","","positive"
"UCSHZKyawb77ixDdsGog4iWA","2024-11-01T17:28:38Z","Did the guy bringing a lawsuit against him die or was that fake news?","youtube","0","negative"
"UCX6OQ3DkcsbYNE6H8uQQuVA","2024-12-14T18:26:55Z","What would you do with 5 billion dollars?","youtube","1","neutral"
"","2024-12-10T20:14:14+0000","A two-year investigation by the agency found patterns of “outrageous” conduct by the police in Worcester, Mass., including excessive use of force and sexual contact between undercover officers and women suspected of prostitution.","nytime","","negative"
"UCSHZKyawb77ixDdsGog4iWA","2024-06-05T20:41:07Z","Here are the timestamps. Please check out our sponsors to support this podcast.\n0:00 - Introduction & sponsor mentions:\n- ExpressVPN: https://expressvpn.com/lexpod to get 3 months free\n- Eight Sleep: https://eightsleep.com/lex to get $350 off\n- BetterHelp: https://betterhelp.com/lex to get 10% off\n- Shopify: https://shopify.com/lex to get $1 per month trial\n- AG1: https://drinkag1.com/lex to get 1 month supply of fish oil\n2:44 - Seven\n6:24 - David Fincher\n14:16 - Brad Pitt and Morgan Freeman\n19:46 - Acting\n28:10 - Improve\n36:54 - Al Pacino\n40:38 - Jack Lemmon\n49:55 - American Beauty\n1:10:04 - Mortality\n1:12:52 - Allegations\n1:30:50 - House of Cards\n1:49:25 - Jack Nicholson\n1:52:27 - Mike Nichols\n1:58:01 - Christopher Walken\n2:05:08 - Father\n2:14:00 - Future","youtube","631","positive"
"UCSHZKyawb77ixDdsGog4iWA","2024-09-21T22:36:13Z","Is he still broke?","youtube","0","neutral"
"UCtxD0x6AuNNqdXO9Wp5GHew","2024-12-14T18:28:48Z","Messi the goat☠️☠️☠️☠️☠️☠️","youtube","0","neutral"
"","2024-12-10T19:55:17+0000","Rohan Dennis, an Olympic cyclist from Australia, pleaded guilty this week for his role in a vehicle incident that fatally injured his wife, Melissa Hoskins, also an Olympic cyclist, late last year, the local media reported.","nytime","","negative"
"","2024-12-10T19:43:13+0000","Peering into the heart of the beast we call the justice system, the directors Ricki Stern and Jesse Sweet zero in on parole, a part of the process that usually unfolds behind closed doors. “Nature of the Crime” offers rare glimpses of the make-or-break interviews that, in more cases than not, deny petitioners their longed-for second chance. As it traces, over a four-year period, the cycles of hope and despair for two incarcerated men — both in New York prisons for crimes committed in the state — this quiet and affecting documentary is at once an argument for reform and a soul-searching question: Should the guiding principle of criminal justice be retribution or rehabilitation?","nytime","","positive"
"UCSHZKyawb77ixDdsGog4iWA","2024-10-14T16:08:14Z","Casting my vote  ... ð\nBest of luck Mr. Spacey!","youtube","0","positive"
"","2024-12-10T10:02:46+0000","Life was good for the tuxedoed and gowned tax lobbyists lined up last month along Washington’s waterfront to get into “Tax Prom,” a wonky event even by the standards of a city peopled by policy nerds.","nytime","","positive"
"UCX6OQ3DkcsbYNE6H8uQQuVA","2024-12-14T18:31:52Z","Am I first or nah?","youtube","0","positive"
"","2024-12-10T19:31:20+0000","Froggy, we hardly knew ye.","nytime","","negative"
"UCX6OQ3DkcsbYNE6H8uQQuVA","2024-12-14T18:37:04Z","Hola","youtube","0","neutral"
"UCSHZKyawb77ixDdsGog4iWA","2024-11-21T16:40:36Z","One of the best modern actors of all time.","youtube","1","positive"
"UCSHZKyawb77ixDdsGog4iWA","2024-11-29T17:26:09Z","No one wins unless Kevin is NOT playing in cool expensive projects.","youtube","0","positive"
"","2024-12-10T10:03:02+0000","Early last year, Ryne Saxe started fielding demands from banks that worked with his San Francisco-based start-up, Eco. They laid out a litany of new compliance and reporting requirements that Eco had to follow.","nytime","","positive"
"UCX6OQ3DkcsbYNE6H8uQQuVA","2024-12-14T18:28:46Z","Spend the Money","youtube","0","neutral"
"","2024-12-10T11:35:16+0000","Outside the courthouse, he is one of the most powerful men in the Middle East, overseeing Israel’s military campaign in Gaza, its occupation of southern Lebanon and recent strikes in Syria.","nytime","","positive"
"UCSHZKyawb77ixDdsGog4iWA","2024-09-28T07:12:47Z","Lex? This has to be one of your best interviews (ever). \nThank you! ð","youtube","0","positive"
"UCX6OQ3DkcsbYNE6H8uQQuVA","2024-12-14T18:30:21Z","Still not better than Cory coming back on the 16th","youtube","0","negative"
"UCSHZKyawb77ixDdsGog4iWA","2024-10-26T19:43:48Z","we love, admire , respect and appreciate him more than everâ¤","youtube","0","positive"
"UCX6OQ3DkcsbYNE6H8uQQuVA","2024-12-14T18:34:01Z","This is history","youtube","0","neutral"
"UCX6OQ3DkcsbYNE6H8uQQuVA","2024-12-14T18:30:20Z","Me beast","youtube","0","neutral"
"UCSHZKyawb77ixDdsGog4iWA","2024-11-29T21:41:48Z","I love house of cards and I didnât see the last season","youtube","0","positive"
"UCtxD0x6AuNNqdXO9Wp5GHew","2024-12-14T18:15:34Z","Suiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii","youtube","0","neutral"
"","2024-12-10T12:44:10+0000","A university student was murdered, and her body dumped in a field. A long-distance Olympic runner died after she was severely burned in a gasoline attack. And a mother, her daughter and her niece were tortured and then killed, their mutilated bodies disposed of in different locations.","nytime","","negative"
"UCX6OQ3DkcsbYNE6H8uQQuVA","2024-12-14T18:31:56Z","FIRST","youtube","1","positive"
"","2024-12-10T20:40:26+0000","Appearing from within the echo chamber of Fox News, Senator Lindsey Graham of South Carolina last week batted away the sexual assault and misconduct allegations dogging Pete Hegseth, President-elect Donald J. Trump’s pick to lead the Defense Department.","nytime","","positive"
"","2024-12-10T16:37:02+0000","President-elect Donald J. Trump mocked Canada’s prime minister in a post late Monday that described him as “Governor Justin Trudeau of the Great State of Canada.”","nytime","","positive"
"UCX6OQ3DkcsbYNE6H8uQQuVA","2024-12-14T18:33:39Z","The challenges are getting more crazy","youtube","0","negative"
"UCSHZKyawb77ixDdsGog4iWA","2024-11-08T21:52:45Z","respect lex. But he is wird and two of his accusers dying in 2 months time span is just wired and than the son of one of the accusers stopped the law sued","youtube","0","neutral"
"UCSHZKyawb77ixDdsGog4iWA","2024-10-25T21:16:27Z","I don't know","youtube","0","neutral"
"UCtxD0x6AuNNqdXO9Wp5GHew","2024-12-14T18:19:26Z","Hi Ronaldo I really wish I could meet you and show you my soccer skills but life has been hard my dad died and I miss him so much but you inspired me to play soccer and I'm really happy that I learn new skills but still don't know how to shoot","youtube","0","positive"
"UCX6OQ3DkcsbYNE6H8uQQuVA","2024-12-14T18:35:54Z","Suii i am one of the first","youtube","1","positive"
"UCX6OQ3DkcsbYNE6H8uQQuVA","2024-12-14T18:30:31Z","I want to participate in this competition. I am from Egypt.","youtube","0","neutral"
"UCSHZKyawb77ixDdsGog4iWA","2024-10-26T19:41:00Z","A great man and suburb actor, everyone of his performances is a masterpiece","youtube","0","positive"
"UCX6OQ3DkcsbYNE6H8uQQuVA","2024-12-14T18:35:17Z","Too excited","youtube","0","positive"
"","2024-12-10T16:00:25+0000","Leak investigations during the Trump administration extended far deeper into Congress than previously known, leading to scrutiny of the records of dozens of staff members, the Justice Department’s inspector general found in what he described as worrisome overreach.","nytime","","negative"
"","2024-12-10T15:30:17+0000","The in crowd knows that Art Basel, the annual global art fair in Miami, isn’t exactly cool anymore, but they go anyway out of professional obligation, or because certain parties might be cool, or for the same reason people with no interest in football watch the Super Bowl: because it’s the Super Bowl.","nytime","","positive"
"UCX6OQ3DkcsbYNE6H8uQQuVA","2024-12-14T18:27:07Z","They fight  for 5 000 000.  Million \n It s   a lot","youtube","0","neutral"
"UCSHZKyawb77ixDdsGog4iWA","2024-12-06T01:38:00Z","The part about his father is crazy a lot of the far right  crowd seem to have fallen into a similar rabbit hole","youtube","0","negative"
"UCX6OQ3DkcsbYNE6H8uQQuVA","2024-12-10T21:37:34Z","Dry ice!","youtube","0","negative"
"UCX6OQ3DkcsbYNE6H8uQQuVA","2024-12-14T18:35:40Z","Nahh mrbeast just keeps getting crazier and crazier","youtube","1","neutral"
"","2024-12-10T10:02:54+0000","When so much of modern living forces us to peer down at a screen, there’s a lot to be said for a cookbook. It won’t blast you with blue light or exacerbate your tech neck; it won’t inundate you with notifications or unskippable ads. If you let it, it will feed you and whomever you choose, and the best ones do so with vibrant photography, clear instructions and an extra serving of whimsy.","nytime","","positive"
"UCX6OQ3DkcsbYNE6H8uQQuVA","2024-12-14T18:31:16Z","Sar mujhe bhi kuchh lakh 2 lakh dedo pilis","youtube","0","neutral"
"UCX6OQ3DkcsbYNE6H8uQQuVA","2024-12-14T18:28:37Z","great video it seems special to me savul mister beast","youtube","0","positive"
"UCX6OQ3DkcsbYNE6H8uQQuVA","2024-12-14T18:30:15Z","He’s gonna dominate the entire world fr","youtube","1","neutral"
"UCSHZKyawb77ixDdsGog4iWA","2024-10-12T22:01:08Z","The impressions are on point! ðð","youtube","0","neutral"
"","2024-12-10T20:48:20+0000","Luigi Mangione read “The Lorax” and “How to Break Up With Your Phone,” Hawaiian travel guides and books about spinal health. Among his favorites were “The Four-Hour Work Week” and “Brave New World.” Earlier this year, he wrote a measured, four-star review of “Industrial Society and Its Future,” better known as the Unabomber Manifesto, praising the author’s insight while noting that he had been “rightfully imprisoned” for his violent actions.","nytime","","positive"
"UCX6OQ3DkcsbYNE6H8uQQuVA","2024-12-10T21:35:17Z","We've lost our AllyHe can no longer be Trusted","youtube","0","neutral"
"","2024-12-10T16:00:02+0000","We just published our 50 most popular new recipes of 2024, the bangers of New York Times Cooking. Simplicity shines on this list, because simplicity always shines in home cooking — the promise of a recipe that is more magic than chemistry, greater than the sum of its stewed, seared or sautéed parts.","nytime","","positive"
"","2024-12-10T11:48:07+0000","President Yoon Suk Yeol’s short-lived declaration of martial law and th​e​ ​ensuing political uncertainty ​have created a constitutional crisis like South Koreans haven’t seen ​since their country democratized in the late 1980s.","nytime","","negative"
"UCSHZKyawb77ixDdsGog4iWA","2024-10-05T21:11:13Z","Wonderful interview, thank you so much","youtube","0","positive"
"","2024-12-10T12:16:06+0000","Note: This forum is intended for teenagers. We ask that adults please comment elsewhere on nytimes.com. Teachers, please preview these materials before you share them with students to make sure they are appropriate for your class.","nytime","","positive"
"UCX6OQ3DkcsbYNE6H8uQQuVA","2024-12-14T18:37:17Z","Im sure the half of participans whill leave for they familys","youtube","1","positive"
"UCSHZKyawb77ixDdsGog4iWA","2024-11-19T03:40:39Z","Thank you for interviewing Mr. Spacey.  Ive always respected and thoroughly enjoyed his work.  It is a crime to punish a man who is innocent of those accusations.  He clearly loves everything about his work, the process of acting amd the wonderful memories.  worked for  The American Film Institute/The Kennedy Center Honors; I was awesteuck at being in the same elevator as Douglas Fairbanks, Jr & Jimmy Stewart; with all their film characters swirling around in my head.  Watching a film with Kevin Spacey is like curling up with a great a book. He's a consumate  storyteller whether as actor or narrating his own  tragic story.            \n  A similar thing is going on in Great Britain where actors and everyday people are being silenced and imprisoned for standing up for their freedom of speach.\n  I  think a touring company of actors who've been ostracized would be a great success.  The recent US election has proven  that every day people are sick to death of Cancel Culture.\n  Thank you, again, for giving us some time with this beautiful man .\n  Hope to see him treading the boards or on the screen, very soon.","youtube","1","positive"
"","2024-12-10T10:03:12+0000","In 2021, Amber Nuño was living in Los Angeles, working at her dream job developing new products at Apple, making six figures and driving a nice car. On the surface, her life looked perfect, but she still felt deeply unsatisfied for reasons she couldn’t understand.","nytime","","positive"
"","2024-12-10T20:19:47+0000","A two-year investigation by the Justice Department found patterns of “outrageous” conduct by the police in Worcester, Mass., including excessive use of force and sexual contact between undercover officers and women suspected of prostitution.","nytime","","negative"
"UCX6OQ3DkcsbYNE6H8uQQuVA","2024-12-14T18:37:48Z","Am so watching that can’t wait😊.","youtube","0","neutral"
"","2024-12-10T13:00:07+0000","A capitalist with a soft spot for royalty. A deep-rooted Southerner with a fondness for stylish New York locales. A gay man, married with children, who has embraced a Republican Party that has sometimes vilified elements, and individuals, of the L.G.B.T.Q. movement.","nytime","","positive"
"","2024-12-10T16:23:43+0000","The Franklin fire is burning so hot that it has modified the local winds, bending them toward and into the fire overnight, forecasters out of the National Weather Service in Los Angeles said on Tuesday morning, as they warned that the wind conditions that helped fuel it are expected to continue through much of the day.","nytime","","positive"
"UCSHZKyawb77ixDdsGog4iWA","2024-12-03T20:02:45Z","Dude!! Is it just me?? Does anyone else see Lex hereâ¦ Gods f$@&ing gift to everyone!!! Mr.Fridman you are one fine human beingâ¦ I appreciate your spaceâ¦beautiful inside and out ð«¶ð½ thank u!!!","youtube","0","positive"
"UCSHZKyawb77ixDdsGog4iWA","2024-10-28T12:11:58Z","@lexfridman awesome interview. You have to interview Mel Gibson talking about the darkside of Hollywood etc, I think it's related to what happened with him before and Kevin Spacey, if you've watched Mel's interview in 1998 by Mike Figgis","youtube","0","positive"
"","2024-12-10T20:23:23+0000","Senator Mitch McConnell, Republican of Kentucky and the minority leader, tripped and fell following the weekly Senate Republicans lunch on Tuesday, spraining his wrist and sustaining a small cut to his face, a spokesman said.","nytime","","negative"
"","2024-12-10T10:03:14+0000","The Archer Daniels Midland wet mill on the outskirts of Decatur, Ill., rises like an industrial behemoth from the frozen, harvested cornfields of Central Illinois. Steam billowed in the 20-degree cold last week, as workers turned raw corn into sweet, ubiquitous high-fructose corn syrup. Three miles away, a Primient mill, which sprawls across 400 acres divided by North 22nd Street, was doing the same.","nytime","","negative"
"UCSHZKyawb77ixDdsGog4iWA","2024-10-17T00:27:09Z","Such an incredible talent. I never stopped being on his side.","youtube","0","positive"
